marital_status,living_area_sqm,children_count,monthly_income,income_source,total_expenses,dti_ratio,avg_monthly_turnover,has_credit_card,num_credit_contracts,num_closed_loans,total_overdue_days,max_overdue_days,num_past_delinquencies,has_bankruptcy,avg_transaction_amount,num_transactions_monthly,premium_category,uses_mobile_banking,uses_investment_products,has_autopayment,employment_type,employer_industry,position_level,work_experience_total_years,has_business,business_profit,owns_car,car_value,owns_real_estate,real_estate_count,owns_land,loan_purpose,requested_amount,approved_amount,loan_rate,monthly_payment,payment_to_income_ratio,collateral_type,has_guarantor,has_higher_education,is_salary_client,is_premium_client,client_segment,tenure_months
single,41,0,114022,salary,63176,0.318,147211,1,2,4,0,0,0,0,6134,24,restaurants,1,0,1,private,education,manager,20,0,0,1,1965710,1,1,1,car,634276,634276,12.8,14199,0.125,car,1,1,1,0,mass_premium,61
single,52,0,106362,self_employed,58089,0.308,282205,1,4,5,0,0,0,0,6414,44,travel,1,0,1,self_employed,finance,specialist,9,0,0,0,0,0,0,0,car,523718,523718,14.0,12468,0.117,car,1,0,0,0,mass_premium,58
married,34,0,114844,salary,57950,0.348,253335,1,0,0,0,0,0,0,6032,42,goods,1,0,1,public,manufacturing,specialist,28,0,0,1,1110548,1,1,0,refinancing,547191,547191,12.7,19725,0.172,guarantor,1,1,1,0,mass_premium,33
married,80,1,122999,self_employed,101058,0.382,132398,0,2,1,0,0,0,0,4413,30,goods,1,0,1,private,education,specialist,23,0,0,1,1160899,1,2,0,consumer,318083,318083,15.2,11571,0.094,real_estate,0,1,0,0,mass_premium,34
married,63,1,78381,self_employed,63869,0.43,130598,1,4,4,0,0,0,0,10883,12,utilities,0,0,0,individual_entrepreneur,transport,manager,0,0,0,0,0,0,0,0,consumer,243078,243078,17.7,11323,0.144,none,0,0,0,0,mass_premium,26
divorced,67,1,56916,salary,46301,0.543,99275,1,2,3,0,0,0,0,2613,38,utilities,1,0,1,private,manufacturing,specialist,5,1,44925,1,466353,0,0,0,mortgage,1226502,1226502,11.7,14701,0.258,real_estate,1,0,1,0,mass,174
single,47,0,109942,business,54802,0.375,124693,0,4,5,0,0,0,0,4156,30,goods,1,1,1,self_employed,manufacturing,specialist,20,1,87111,1,1427174,1,1,0,refinancing,591726,591726,13.2,22023,0.2,none,0,0,0,0,mass_premium,32
married,67,1,113140,salary,82313,0.399,332173,0,1,3,0,0,0,0,23727,14,restaurants,1,0,0,private,education,manager,16,0,0,0,0,1,3,0,refinancing,579301,579301,16.4,16306,0.144,none,0,0,1,0,mass_premium,49
single,49,0,134300,salary,94911,0.517,227546,1,0,0,0,0,0,0,8752,26,travel,0,1,1,self_employed,manufacturing,manager,14,0,0,1,2054994,0,0,0,refinancing,761116,761116,16.6,36230,0.27,none,0,1,1,0,mass_premium,25
married,55,0,85503,self_employed,63740,0.401,201228,1,7,7,0,0,0,0,11179,18,restaurants,0,0,1,self_employed,medicine,specialist,6,0,0,1,1399907,1,1,0,refinancing,466154,466154,15.4,12020,0.141,none,0,1,0,0,mass_premium,54
