marital_status,living_area_sqm,children_count,monthly_income,income_source,total_expenses,dti_ratio,avg_monthly_turnover,has_credit_card,num_credit_contracts,num_closed_loans,total_overdue_days,max_overdue_days,num_past_delinquencies,has_bankruptcy,avg_transaction_amount,num_transactions_monthly,premium_category,uses_mobile_banking,uses_investment_products,has_autopayment,employment_type,employer_industry,position_level,work_experience_total_years,has_business,business_profit,owns_car,car_value,owns_real_estate,real_estate_count,owns_land,loan_purpose,requested_amount,approved_amount,loan_rate,monthly_payment,payment_to_income_ratio,collateral_type,has_guarantor,has_higher_education,is_salary_client,is_premium_client,client_segment,tenure_months,Risk_Cluster
married,27,0,91899,self_employed,48891,0.29,142434,1,1,3,8,11,0,0,4037,10,utilities,1,0,0,individual_entrepreneur,finance,specialist,13,1,56579,1,1245495,0,1,1,education,252911,156346,18.4,42648,0.464,real_estate,0,0,0,0,mass,86,0.0
widowed,36,0,78437,salary,48254,0.55,160087,1,4,1,51,1,0,0,2184,10,restaurants,1,1,0,private,IT,specialist,0,0,0,1,200000,1,0,0,repair,299181,268617,12.7,25515,0.325,car,1,1,1,0,mass_premium,50,0.0
single,74,0,85786,salary,66468,0.2,100476,1,1,6,1,4,0,1,2214,3,goods,0,0,1,self_employed,construction,manager,17,1,345309,1,200000,1,1,1,car,284826,228518,27.7,10069,0.117,none,0,0,1,0,mass,77,2.0
single,35,0,66183,pension,35543,0.13,69843,1,2,0,19,9,0,0,3901,0,utilities,1,0,0,self_employed,manufacturing,specialist,24,0,0,0,0,1,1,0,repair,309838,262607,28.0,37531,0.567,none,0,1,0,0,mass_premium,170,0.0
married,92,2,54763,salary,41117,0.49,86722,1,2,1,20,4,1,0,10789,8,travel,1,0,1,private,education,specialist,14,0,0,1,1603741,1,1,1,car,113937,96030,19.6,3000,0.055,none,1,1,0,0,mass_premium,190,0.0
married,63,3,86454,salary,43551,0.24,116134,1,0,1,3,2,1,0,11977,4,goods,1,0,1,self_employed,construction,specialist,14,0,0,0,0,1,2,0,repair,139567,115348,24.0,4655,0.054,real_estate,1,0,1,0,mass,215,0.0
married,67,0,66099,salary,34454,0.49,120879,1,1,1,39,2,0,0,2030,12,goods,1,0,0,private,education,manager,13,0,0,0,0,0,0,0,emergency,514703,459770,32.0,7041,0.107,none,0,0,0,0,mass_premium,179,1.0
divorced,58,2,67434,salary,60229,0.14,144372,1,3,2,3,6,0,0,5180,15,utilities,1,0,0,private,IT,specialist,16,0,0,0,0,1,0,0,emergency,984329,973462,26.5,17270,0.256,none,0,0,1,0,mass,160,1.0
single,84,0,83921,pension,49049,0.25,195750,0,1,2,43,4,0,1,3827,3,restaurants,1,1,0,private,manufacturing,manager,0,0,0,1,1866811,0,2,0,car,530853,408189,28.2,4019,0.048,none,0,1,0,0,mass,213,2.0
single,84,1,33837,self_employed,25879,0.19,70817,0,0,3,13,3,0,0,7430,9,travel,1,0,0,self_employed,construction,manager,16,0,0,0,0,0,1,0,car,499691,367491,12.6,18900,0.559,none,1,0,1,0,mass_premium,176,1.0
married,73,0,120036,salary,98433,0.27,165766,1,2,1,0,36,0,0,4522,11,travel,1,0,0,private,manufacturing,specialist,19,0,0,1,1292917,1,1,0,emergency,148634,109035,30.0,23358,0.195,none,0,1,0,0,mass_premium,235,0.0
widowed,79,1,61272,salary,35134,0.3,124781,0,1,2,14,7,2,0,6028,11,utilities,1,1,1,self_employed,IT,manager,12,1,291563,1,1830780,1,0,0,repair,676352,450709,27.7,13164,0.215,none,0,1,0,0,mass,234,1.0
